馬,騎手,馬番,走破時間,オッズ,通過順,着順,体重,体重変化,性,齢,斤量,上がり,人気,レース名,日付,開催,クラス,芝・ダート,距離,回り,馬場,天気,場id,場名
ベルヴュードライヴ,松山弘平,6,2:05.2,213.9,3-3-5-5,15,410,0,牡,2,55.0,37.8,13.0,2歳未勝利,2021年12月26日,5回中山8日目,2歳未勝利,芝,2000,右,良,晴,5,中山
ブランデウェイン,杉原誠人,2,2:05.4,598.3,5-5-11-12,16,478,4,牡,2,55.0,37.6,17.0,2歳未勝利,2021年12月26日,5回中山8日目,2歳未勝利,芝,2000,右,良,晴,5,中山
フレンドオパール,小林脩斗,10,2:06.1,577.5,5-5-9-11,17,412,-6,牝,2,51.0,38.6,16.0,2歳未勝利,2021年12月26日,5回中山8日目,2歳未勝利,芝,2000,右,良,晴,5,中山
セイウンパキラ,勝浦正樹,1,2:07.2,303.3,10-10-14-16,18,496,-28,牡,2,55.0,39.1,14.0,2歳未勝利,2021年12月26日,5回中山8日目,2歳未勝利,芝,2000,右,良,晴,5,中山
ライヴアメシスト,小林脩斗,15,1:13.6,96.6,9-8,1,420,0,牝,2,51.0,37.0,11.0,2歳新馬,2021年12月26日,5回中山8日目,2歳新馬,ダ,1200,右,良,晴,5,中山
プリティバレリーナ,丹内祐次,13,1:13.6,25.4,3-2,2,464,0,牝,2,54.0,38.5,6.0,2歳新馬,2021年12月26日,5回中山8日目,2歳新馬,ダ,1200,右,良,晴,5,中山
リネンファイト,山田敬士,14,1:13.7,32.1,2-2,3,484,0,牝,2,52.0,38.7,7.0,2歳新馬,2021年12月26日,5回中山8日目,2歳新馬,ダ,1200,右,良,晴,5,中山
エコロシルヴィー,ルメール,9,1:14.1,2.6,4-4,4,446,0,牝,2,54.0,38.8,1.0,2歳新馬,2021年12月26日,5回中山8日目,2歳新馬,ダ,1200,右,良,晴,5,中山
トワイライトドレス,原優介,11,1:14.6,68.6,8-6,5,482,0,牝,2,51.0,38.3,10.0,2歳新馬,2021年12月26日,5回中山8日目,2歳新馬,ダ,1200,右,良,晴,5,中山
アカポネタテソーロ,戸崎圭太,12,1:14.8,7.0,1-1,6,440,0,牝,2,54.0,39.9,5.0,2歳新馬,2021年12月26日,5回中山8日目,2歳新馬,ダ,1200,右,良,晴,5,中山
ネクタリス,菅原明良,2,1:14.8,4.8,7-8,7,476,0,牡,2,55.0,38.6,2.0,2歳新馬,2021年12月26日,5回中山8日目,2歳新馬,ダ,1200,右,良,晴,5,中山
ムーンティアラ,野中悠太,8,1:15.2,154.7,4-4,8,434,0,牝,2,54.0,39.9,13.0,2歳新馬,2021年12月26日,5回中山8日目,2歳新馬,ダ,1200,右,良,晴,5,中山
ラインオンザトップ,秋山稔樹,10,1:15.3,5.7,9-10,9,442,0,牡,2,54.0,38.6,4.0,2歳新馬,2021年12月26日,5回中山8日目,2歳新馬,ダ,1200,右,良,晴,5,中山
ミザール,横山和生,7,1:15.4,5.0,6-6,10,480,0,牡,2,55.0,39.7,3.0,2歳新馬,2021年12月26日,5回中山8日目,2歳新馬,ダ,1200,右,良,晴,5,中山
サイキョウノオンナ,内田博幸,16,1:16.0,59.5,9-11,11,446,0,牝,2,54.0,39.4,9.0,2歳新馬,2021年12月26日,5回中山8日目,2歳新馬,ダ,1200,右,良,晴,5,中山
ジャンヌデュモン,横山琉人,3,1:16.1,232.1,12-12,12,412,0,牝,2,51.0,39.1,16.0,2歳新馬,2021年12月26日,5回中山8日目,2歳新馬,ダ,1200,右,良,晴,5,中山
テリオスレオ,菊沢一樹,5,1:16.2,141.5,13-13,13,454,0,牡,2,55.0,39.0,12.0,2歳新馬,2021年12月26日,5回中山8日目,2歳新馬,ダ,1200,右,良,晴,5,中山
シトラスダル,岩部純二,6,1:16.2,46.6,14-14,14,450,0,牝,2,54.0,38.7,8.0,2歳新馬,2021年12月26日,5回中山8日目,2歳新馬,ダ,1200,右,良,晴,5,中山
セヲハヤミ,杉原誠人,4,1:17.3,194.4,16-16,15,420,0,牝,2,54.0,39.5,14.0,2歳新馬,2021年12月26日,5回中山8日目,2歳新馬,ダ,1200,右,良,晴,5,中山
ヴェスパーローズ,和田竜二,1,1:18.6,209.7,14-14,16,438,0,牝,2,54.0,41.1,15.0,2歳新馬,2021年12月26日,5回中山8日目,2歳新馬,ダ,1200,右,良,晴,5,中山
ローブエリタージュ,ルメール,16,1:37.6,3.2,8-8-5,1,396,0,牝,2,54.0,35.5,2.0,2歳新馬,2021年12月26日,5回中山8日目,2歳新馬,芝,1600,右,良,晴,5,中山
ゴーゴーユタカ,横山武史,15,1:37.8,12.4,4-3-3,2,488,0,牡,2,55.0,36.1,4.0,2歳新馬,2021年12月26日,5回中山8日目,2歳新馬,芝,1600,右,良,晴,5,中山
キラリヒカルゲーム,丸田恭介,9,1:38.1,21.5,6-6-10,3,508,0,牝,2,54.0,36.2,7.0,2歳新馬,2021年12月26日,5回中山8日目,2歳新馬,芝,1600,右,良,晴,5,中山
プリティーメモリー,横山和生,7,1:38.1,14.3,1-1-1,4,400,0,牝,2,54.0,36.6,5.0,2歳新馬,2021年12月26日,5回中山8日目,2歳新馬,芝,1600,右,良,晴,5,中山
マンドローネ,松山弘平,4,1:38.2,2.7,4-3-5,5,428,0,牝,2,54.0,36.4,1.0,2歳新馬,2021年12月26日,5回中山8日目,2歳新馬,芝,1600,右,良,晴,5,中山
ルージュエピス,池添謙一,11,1:38.3,4.4,2-2-2,6,470,0,牝,2,54.0,36.8,3.0,2歳新馬,2021年12月26日,5回中山8日目,2歳新馬,芝,1600,右,良,晴,5,中山
ラブシックボッサ,丸山元気,5,1:38.4,61.7,2-3-5,7,462,0,牡,2,55.0,36.7,11.0,2歳新馬,2021年12月26日,5回中山8日目,2歳新馬,芝,1600,右,良,晴,5,中山
フランセス,石川裕紀,10,1:38.4,19.2,6-6-3,8,442,0,牝,2,54.0,36.5,6.0,2歳新馬,2021年12月26日,5回中山8日目,2歳新馬,芝,1600,右,良,晴,5,中山
リオシャンパーニュ,永野猛蔵,6,1:38.5,41.1,14-10-8,9,456,0,牝,2,51.0,36.0,8.0,2歳新馬,2021年12月26日,5回中山8日目,2歳新馬,芝,1600,右,良,晴,5,中山
ジェノバフレイバー,原優介,2,1:38.6,44.7,11-14-13,10,460,0,牡,2,52.0,35.4,9.0,2歳新馬,2021年12月26日,5回中山8日目,2歳新馬,芝,1600,右,良,晴,5,中山
ブキャナンテソーロ,幸英明,3,1:38.7,120.3,13-11-11,11,506,0,牡,2,55.0,35.8,13.0,2歳新馬,2021年12月26日,5回中山8日目,2歳新馬,芝,1600,右,良,晴,5,中山
ジュンツバサニセイ,菊沢一樹,14,1:39.3,260.5,12-11-11,12,434,0,牡,2,55.0,36.5,16.0,2歳新馬,2021年12月26日,5回中山8日目,2歳新馬,芝,1600,右,良,晴,5,中山
マジックゲール,田辺裕信,12,1:39.4,60.4,8-9-8,13,470,0,牡,2,55.0,37.1,10.0,2歳新馬,2021年12月26日,5回中山8日目,2歳新馬,芝,1600,右,良,晴,5,中山
リュウノファウラー,横山琉人,8,1:39.7,212.4,8-11-13,14,446,0,牡,2,52.0,36.9,15.0,2歳新馬,2021年12月26日,5回中山8日目,2歳新馬,芝,1600,右,良,晴,5,中山
マサノアーリー,松岡正海,13,1:39.9,93.3,16-15-13,15,450,0,牝,2,54.0,36.5,12.0,2歳新馬,2021年12月26日,5回中山8日目,2歳新馬,芝,1600,右,良,晴,5,中山
レインアルテイシア,勝浦正樹,1,1:41.8,211.5,14-16-16,16,424,0,牝,2,54.0,38.3,14.0,2歳新馬,2021年12月26日,5回中山8日目,2歳新馬,芝,1600,右,良,晴,5,中山
ホウオウルバン,和田竜二,15,1:54.2,49.4,16-16-2-2,1,524,-2,牡,3,56.0,39.0,11.0,3歳以上1勝クラス,2021年12月26日,5回中山8日目,3歳以上1勝クラス,ダ,1800,右,良,晴,5,中山
ハイエストエンド,田辺裕信,7,1:54.2,55.8,15-15-1-1,2,512,18,セ,4,57.0,39.1,13.0,3歳以上1勝クラス,2021年12月26日,5回中山8日目,3歳以上1勝クラス,ダ,1800,右,良,晴,5,中山
トミケンベレムド,野中悠太,1,1:55.7,244.5,13-13-16-11,3,530,-2,牡,3,56.0,38.7,15.0,3歳以上1勝クラス,2021年12月26日,5回中山8日目,3歳以上1勝クラス,ダ,1800,右,良,晴,5,中山
セイウンロミオ,大野拓弥,9,1:55.7,18.7,13-13-9-6,4,534,8,牡,3,56.0,39.3,7.0,3歳以上1勝クラス,2021年12月26日,5回中山8日目,3歳以上1勝クラス,ダ,1800,右,良,晴,5,中山
アシタガアルサ,江田照男,6,1:55.8,35.3,11-11-13-11,5,462,4,牡,3,56.0,39.0,8.0,3歳以上1勝クラス,2021年12月26日,5回中山8日目,3歳以上1勝クラス,ダ,1800,右,良,晴,5,中山
フェイマスダンディ,田中勝春,16,1:55.9,14.5,1-1-3-3,6,482,22,牡,3,56.0,40.4,6.0,3歳以上1勝クラス,2021年12月26日,5回中山8日目,3歳以上1勝クラス,ダ,1800,右,良,晴,5,中山
ルドヴィクス,菅原明良,5,1:56.0,14.0,4-5-6-5,7,522,26,牡,3,56.0,39.9,5.0,3歳以上1勝クラス,2021年12月26日,5回中山8日目,3歳以上1勝クラス,ダ,1800,右,良,晴,5,中山
ダノンマヴロス,三浦皇成,8,1:56.5,7.4,6-5-9-11,8,484,12,牡,3,56.0,40.1,3.0,3歳以上1勝クラス,2021年12月26日,5回中山8日目,3歳以上1勝クラス,ダ,1800,右,良,晴,5,中山
ヒートヘイズ,石川裕紀,13,1:56.7,9.5,9-10-9-10,9,486,4,牡,3,56.0,40.4,4.0,3歳以上1勝クラス,2021年12月26日,5回中山8日目,3歳以上1勝クラス,ダ,1800,右,良,晴,5,中山
ランドアーティスト,ルメール,14,1:56.8,1.9,6-7-6-6,10,486,2,セ,4,57.0,40.6,1.0,3歳以上1勝クラス,2021年12月26日,5回中山8日目,3歳以上1勝クラス,ダ,1800,右,良,晴,5,中山
タスマンハイウェイ,丸山元気,4,1:56.9,37.8,3-3-3-4,11,538,18,セ,3,56.0,41.4,9.0,3歳以上1勝クラス,2021年12月26日,5回中山8日目,3歳以上1勝クラス,ダ,1800,右,良,晴,5,中山
トリストラム,永野猛蔵,12,1:56.9,46.9,6-8-13-15,12,504,14,牡,3,53.0,40.1,10.0,3歳以上1勝クラス,2021年12月26日,5回中山8日目,3歳以上1勝クラス,ダ,1800,右,良,晴,5,中山
カレンレベンティス,松山弘平,3,1:57.2,6.7,4-3-6-6,13,468,6,牡,3,56.0,41.1,2.0,3歳以上1勝クラス,2021年12月26日,5回中山8日目,3歳以上1勝クラス,ダ,1800,右,良,晴,5,中山
コトブキアルニラム,横山琉人,10,1:57.2,128.8,9-8-13-11,14,452,20,牝,3,51.0,40.4,14.0,3歳以上1勝クラス,2021年12月26日,5回中山8日目,3歳以上1勝クラス,ダ,1800,右,良,晴,5,中山
スズカキングボス,丹内祐次,2,1:57.9,49.5,2-2-5-6,15,454,-4,セ,4,57.0,42.0,12.0,3歳以上1勝クラス,2021年12月26日,5回中山8日目,3歳以上1勝クラス,ダ,1800,右,良,晴,5,中山
ハバチューバー,小林脩斗,11,1:58.2,372.5,11-11-12-16,16,516,14,牡,4,54.0,41.6,16.0,3歳以上1勝クラス,2021年12月26日,5回中山8日目,3歳以上1勝クラス,ダ,1800,右,良,晴,5,中山
リンカーンテソーロ,横山和生,15,1:11.5,1.7,3-2,1,462,-2,牡,3,56.0,37.5,1.0,冬至特別 ,2021年12月26日,5回中山8日目,3歳以上2勝クラス,ダ,1200,右,良,晴,5,中山
エリモグリッター,内田博幸,8,1:11.6,78.2,11-10,2,480,4,セ,4,57.0,36.8,12.0,冬至特別 ,2021年12月26日,5回中山8日目,3歳以上2勝クラス,ダ,1200,右,良,晴,5,中山
トモジャドット,菅原明良,7,1:11.9,10.0,1-1,3,542,10,牡,5,57.0,38.0,4.0,冬至特別 ,2021年12月26日,5回中山8日目,3歳以上2勝クラス,ダ,1200,右,良,晴,5,中山
ゴーストレート,菊沢一樹,5,1:12.1,8.5,7-7,4,492,8,牡,3,56.0,37.5,3.0,冬至特別 ,2021年12月26日,5回中山8日目,3歳以上2勝クラス,ダ,1200,右,良,晴,5,中山
ブーケオブアイリス,武豊,4,1:12.1,23.2,7-5,5,502,6,牡,3,56.0,37.6,7.0,冬至特別 ,2021年12月26日,5回中山8日目,3歳以上2勝クラス,ダ,1200,右,良,晴,5,中山
レッチェバロック,ルメール,9,1:12.3,5.6,5-5,6,496,0,牝,4,55.0,38.0,2.0,冬至特別 ,2021年12月26日,5回中山8日目,3歳以上2勝クラス,ダ,1200,右,良,晴,5,中山
グランドストローク,松岡正海,12,1:12.3,21.3,11-10,7,476,2,牡,4,57.0,37.5,6.0,冬至特別 ,2021年12月26日,5回中山8日目,3歳以上2勝クラス,ダ,1200,右,良,晴,5,中山
オンリーワンスター,和田翼,14,1:12.3,27.2,7-8,8,462,-4,牝,8,55.0,37.7,8.0,冬至特別 ,2021年12月26日,5回中山8日目,3歳以上2勝クラス,ダ,1200,右,良,晴,5,中山
ビップエレナ,小林脩斗,2,1:12.4,35.3,13-12,9,486,16,牝,3,54.0,37.5,9.0,冬至特別 ,2021年12月26日,5回中山8日目,3歳以上2勝クラス,ダ,1200,右,良,晴,5,中山
ケイアイマリブ,丹内祐次,10,1:12.6,75.1,6-8,10,490,-2,牡,6,57.0,38.2,11.0,冬至特別 ,2021年12月26日,5回中山8日目,3歳以上2勝クラス,ダ,1200,右,良,晴,5,中山
プレフェリータ,横山武史,1,1:12.6,19.3,15-13,11,480,6,牝,3,54.0,37.5,5.0,冬至特別 ,2021年12月26日,5回中山8日目,3歳以上2勝クラス,ダ,1200,右,良,晴,5,中山
スピードオブラブ,江田照男,13,1:12.6,132.8,15-14,12,460,8,牝,4,55.0,37.4,13.0,冬至特別 ,2021年12月26日,5回中山8日目,3歳以上2勝クラス,ダ,1200,右,良,晴,5,中山
モリトユウブ,秋山稔樹,3,1:12.9,182.0,13-14,13,510,6,牡,6,57.0,38.0,15.0,冬至特別 ,2021年12月26日,5回中山8日目,3歳以上2勝クラス,ダ,1200,右,良,晴,5,中山
レインボービーム,小林凌大,11,1:13.0,269.0,2-2,14,492,28,牡,4,57.0,39.1,16.0,冬至特別 ,2021年12月26日,5回中山8日目,3歳以上2勝クラス,ダ,1200,右,良,晴,5,中山
ヒロノトウリョウ,丸田恭介,16,1:13.6,71.1,3-4,15,512,12,牡,5,57.0,39.6,10.0,冬至特別 ,2021年12月26日,5回中山8日目,3歳以上2勝クラス,ダ,1200,右,良,晴,5,中山
ショーテンシ,津村明秀,6,1:13.9,180.6,10-14,16,494,10,牝,5,55.0,39.2,14.0,冬至特別 ,2021年12月26日,5回中山8日目,3歳以上2勝クラス,ダ,1200,右,良,晴,5,中山
コーストライン,永野猛蔵,6,2:35.4,24.1,5-5-7-4,1,464,2,牝,3,51.0,35.9,7.0,グッドラックハンデ ,2021年12月26日,5回中山8日目,3歳以上2勝クラス,芝,2500,右,良,晴,5,中山
レッドヴェロシティ,Ｍ．デム,7,2:35.5,2.4,8-9-4-2,2,542,10,牡,3,56.0,36.1,1.0,グッドラックハンデ ,2021年12月26日,5回中山8日目,3歳以上2勝クラス,芝,2500,右,良,晴,5,中山
ブレークアップ,横山武史,14,2:35.8,5.9,2-2-1-1,3,492,4,牡,3,54.0,36.6,3.0,グッドラックハンデ ,2021年12月26日,5回中山8日目,3歳以上2勝クラス,芝,2500,右,良,晴,5,中山
ウインエアフォルク,野中悠太,12,2:36.1,51.5,16-16-16-16,4,480,10,牡,4,54.0,35.7,9.0,グッドラックハンデ ,2021年12月26日,5回中山8日目,3歳以上2勝クラス,芝,2500,右,良,晴,5,中山
コスモジェミラ,幸英明,3,2:36.2,12.0,15-14-9-8,5,462,2,牝,4,53.0,36.6,5.0,グッドラックハンデ ,2021年12月26日,5回中山8日目,3歳以上2勝クラス,芝,2500,右,良,晴,5,中山
アスティ,丸田恭介,4,2:36.2,99.4,12-12-15-14,6,428,-2,セ,5,54.0,36.0,14.0,グッドラックハンデ ,2021年12月26日,5回中山8日目,3歳以上2勝クラス,芝,2500,右,良,晴,5,中山
ウォルフズハウル,菅原明良,1,2:36.3,4.0,6-5-9-10,7,470,2,牡,5,56.0,36.7,2.0,グッドラックハンデ ,2021年12月26日,5回中山8日目,3歳以上2勝クラス,芝,2500,右,良,晴,5,中山
レッドクーゲル,北村宏司,5,2:36.3,154.0,4-4-7-4,8,448,4,牡,5,53.0,36.8,15.0,グッドラックハンデ ,2021年12月26日,5回中山8日目,3歳以上2勝クラス,芝,2500,右,良,晴,5,中山
ラヴィンジャー,戸崎圭太,15,2:36.3,7.9,10-10-9-8,9,436,8,牝,5,54.0,36.7,4.0,グッドラックハンデ ,2021年12月26日,5回中山8日目,3歳以上2勝クラス,芝,2500,右,良,晴,5,中山
ハギノカエラ,菱田裕二,9,2:36.3,88.4,12-12-13-13,10,426,-16,牝,8,52.0,36.4,13.0,グッドラックハンデ ,2021年12月26日,5回中山8日目,3歳以上2勝クラス,芝,2500,右,良,晴,5,中山
タイセイドリーマー,松山弘平,13,2:36.3,17.0,3-3-2-2,11,498,0,牡,3,54.0,37.0,6.0,グッドラックハンデ ,2021年12月26日,5回中山8日目,3歳以上2勝クラス,芝,2500,右,良,晴,5,中山
マイネルコロンブス,丹内祐次,2,2:36.5,58.9,10-10-13-14,12,480,14,牡,4,56.0,36.5,11.0,グッドラックハンデ ,2021年12月26日,5回中山8日目,3歳以上2勝クラス,芝,2500,右,良,晴,5,中山
ネオストーリー,内田博幸,16,2:36.5,77.9,14-14-4-4,13,468,6,牡,4,54.0,37.1,12.0,グッドラックハンデ ,2021年12月26日,5回中山8日目,3歳以上2勝クラス,芝,2500,右,良,晴,5,中山
トロピカルストーム,岩田望来,8,2:36.8,52.6,7-7-4-10,14,458,-8,セ,8,55.0,37.4,10.0,グッドラックハンデ ,2021年12月26日,5回中山8日目,3歳以上2勝クラス,芝,2500,右,良,晴,5,中山
シーオブザムーン,津村明秀,11,2:36.9,156.9,8-8-9-10,15,486,10,牝,5,52.0,37.3,16.0,グッドラックハンデ ,2021年12月26日,5回中山8日目,3歳以上2勝クラス,芝,2500,右,良,晴,5,中山
ラヴィンフォール,江田照男,10,2:37.9,47.1,1-1-2-4,16,506,2,牝,4,51.0,38.7,8.0,グッドラックハンデ ,2021年12月26日,5回中山8日目,3歳以上2勝クラス,芝,2500,右,良,晴,5,中山
ショウナンアニメ,菅原明良,2,1:10.6,8.4,1-1,1,496,6,牡,4,57.0,37.1,5.0,フェアウェルS ,2021年12月26日,5回中山8日目,3歳以上3勝クラス,ダ,1200,右,良,晴,5,中山
ワルツフォーラン,丹内祐次,3,1:10.6,6.4,2-2,2,472,4,牝,4,55.0,36.8,3.0,フェアウェルS ,2021年12月26日,5回中山8日目,3歳以上3勝クラス,ダ,1200,右,良,晴,5,中山
アーバンイェーガー,吉田豊,12,1:10.8,16.6,9-9,3,522,10,牡,7,57.0,36.3,7.0,フェアウェルS ,2021年12月26日,5回中山8日目,3歳以上3勝クラス,ダ,1200,右,良,晴,5,中山
カイアワセ,戸崎圭太,11,1:11.0,4.5,3-3,4,456,0,牝,4,55.0,37.0,2.0,フェアウェルS ,2021年12月26日,5回中山8日目,3歳以上3勝クラス,ダ,1200,右,良,晴,5,中山
ウィッチクラフト,内田博幸,7,1:11.2,51.4,4-4,5,514,6,セ,5,57.0,37.1,11.0,フェアウェルS ,2021年12月26日,5回中山8日目,3歳以上3勝クラス,ダ,1200,右,良,晴,5,中山
ジゲン,岩田望来,15,1:11.2,3.1,4-4,6,462,0,牡,4,57.0,37.1,1.0,フェアウェルS ,2021年12月26日,5回中山8日目,3歳以上3勝クラス,ダ,1200,右,良,晴,5,中山
ピアシック,武豊,5,1:11.2,7.0,10-10,7,512,0,牡,5,57.0,36.4,4.0,フェアウェルS ,2021年12月26日,5回中山8日目,3歳以上3勝クラス,ダ,1200,右,良,晴,5,中山
ナイトブリーズ,宮崎北斗,14,1:11.5,11.8,7-7,8,510,20,牝,4,55.0,37.1,6.0,フェアウェルS ,2021年12月26日,5回中山8日目,3歳以上3勝クラス,ダ,1200,右,良,晴,5,中山
メイショウコゴミ,横山和生,10,1:11.6,102.0,16-16,9,452,-4,牝,6,55.0,36.3,14.0,フェアウェルS ,2021年12月26日,5回中山8日目,3歳以上3勝クラス,ダ,1200,右,良,晴,5,中山
フィルストバーン,石川裕紀,8,1:11.6,35.3,6-6,10,470,6,セ,5,57.0,37.3,9.0,フェアウェルS ,2021年12月26日,5回中山8日目,3歳以上3勝クラス,ダ,1200,右,良,晴,5,中山
サンライズセナ,鮫島良太,9,1:11.6,68.2,15-15,11,490,6,牡,6,57.0,36.5,13.0,フェアウェルS ,2021年12月26日,5回中山8日目,3歳以上3勝クラス,ダ,1200,右,良,晴,5,中山
ニシノホライゾン,勝浦正樹,4,1:11.6,26.2,13-13,12,518,18,牡,4,57.0,36.6,8.0,フェアウェルS ,2021年12月26日,5回中山8日目,3歳以上3勝クラス,ダ,1200,右,良,晴,5,中山
ムスコローソ,嶋田純次,13,1:11.8,179.0,10-10,13,524,0,牡,6,57.0,37.0,15.0,フェアウェルS ,2021年12月26日,5回中山8日目,3歳以上3勝クラス,ダ,1200,右,良,晴,5,中山
ローレルジャック,武士沢友,16,1:12.0,224.3,10-10,14,508,6,牡,8,57.0,37.3,16.0,フェアウェルS ,2021年12月26日,5回中山8日目,3歳以上3勝クラス,ダ,1200,右,良,晴,5,中山
ナンヨーイザヨイ,江田照男,1,1:12.0,65.2,7-7,15,494,14,セ,5,57.0,37.6,12.0,フェアウェルS ,2021年12月26日,5回中山8日目,3歳以上3勝クラス,ダ,1200,右,良,晴,5,中山
マティアス,丸山元気,6,1:12.1,43.7,13-13,16,510,16,牡,4,57.0,37.1,10.0,フェアウェルS ,2021年12月26日,5回中山8日目,3歳以上3勝クラス,ダ,1200,右,良,晴,5,中山
エフフォーリア,横山武史,10,2:32.0,2.1,9-9-8-5,1,516,2,牡,3,55.0,35.9,1.0,第66回有馬記念(G1),2021年12月26日,5回中山8日目,3歳以上オープン,芝,2500,右,良,晴,5,中山
ディープボンド,和田竜二,5,2:32.1,20.9,5-6-6-5,2,502,0,牡,4,57.0,36.1,5.0,第66回有馬記念(G1),2021年12月26日,5回中山8日目,3歳以上オープン,芝,2500,右,良,晴,5,中山
クロノジェネシス,ルメール,7,2:32.2,2.9,7-7-8-8,3,478,0,牝,5,55.0,36.0,2.0,第66回有馬記念(G1),2021年12月26日,5回中山8日目,3歳以上オープン,芝,2500,右,良,晴,5,中山
ステラヴェローチェ,Ｍ．デム,9,2:32.3,7.9,10-11-10-8,4,498,4,牡,3,55.0,35.9,3.0,第66回有馬記念(G1),2021年12月26日,5回中山8日目,3歳以上オープン,芝,2500,右,良,晴,5,中山
タイトルホルダー,横山和生,16,2:32.5,10.2,2-2-2-2,5,476,12,牡,3,55.0,36.9,4.0,第66回有馬記念(G1),2021年12月26日,5回中山8日目,3歳以上オープン,芝,2500,右,良,晴,5,中山
アリストテレス,武豊,11,2:33.0,47.7,15-15-14-12,6,474,-6,牡,4,57.0,36.4,9.0,第66回有馬記念(G1),2021年12月26日,5回中山8日目,3歳以上オープン,芝,2500,右,良,晴,5,中山
アカイイト,幸英明,13,2:33.1,31.8,12-12-13-10,7,516,2,牝,4,55.0,36.6,6.0,第66回有馬記念(G1),2021年12月26日,5回中山8日目,3歳以上オープン,芝,2500,右,良,晴,5,中山
モズベッロ,池添謙一,3,2:33.5,146.2,13-13-10-13,8,488,0,牡,5,57.0,37.1,14.0,第66回有馬記念(G1),2021年12月26日,5回中山8日目,3歳以上オープン,芝,2500,右,良,晴,5,中山
ユーキャンスマイル,藤岡佑介,8,2:33.6,150.6,14-14-14-15,9,512,6,牡,6,57.0,36.9,16.0,第66回有馬記念(G1),2021年12月26日,5回中山8日目,3歳以上オープン,芝,2500,右,良,晴,5,中山
キセキ,松山弘平,15,2:33.6,43.8,7-7-6-3,10,516,4,牡,7,57.0,37.6,7.0,第66回有馬記念(G1),2021年12月26日,5回中山8日目,3歳以上オープン,芝,2500,右,良,晴,5,中山
ウインキートス,丹内祐次,6,2:34.3,70.0,3-3-3-5,11,480,10,牝,4,55.0,38.5,12.0,第66回有馬記念(G1),2021年12月26日,5回中山8日目,3歳以上オープン,芝,2500,右,良,晴,5,中山
シャドウディーヴァ,横山典弘,12,2:34.3,144.5,3-4-5-10,12,476,-2,牝,5,55.0,38.4,13.0,第66回有馬記念(G1),2021年12月26日,5回中山8日目,3歳以上オープン,芝,2500,右,良,晴,5,中山
パンサラッサ,菱田裕二,2,2:34.4,45.5,1-1-1-1,13,480,6,牡,4,57.0,39.1,8.0,第66回有馬記念(G1),2021年12月26日,5回中山8日目,3歳以上オープン,芝,2500,右,良,晴,5,中山
ペルシアンナイト,Ｃ．デム,1,2:34.6,62.3,5-4-3-3,14,500,-2,牡,7,57.0,38.8,11.0,第66回有馬記念(G1),2021年12月26日,5回中山8日目,3歳以上オープン,芝,2500,右,良,晴,5,中山
メロディーレーン,岩田望来,4,2:35.2,146.8,10-10-10-13,15,352,-2,牝,5,55.0,38.8,15.0,第66回有馬記念(G1),2021年12月26日,5回中山8日目,3歳以上オープン,芝,2500,右,良,晴,5,中山
アサマノイタズラ,田辺裕信,14,2:35.4,51.1,16-16-16-16,16,496,4,牡,3,55.0,38.4,10.0,第66回有馬記念(G1),2021年12月26日,5回中山8日目,3歳以上オープン,芝,2500,右,良,晴,5,中山
コスモアンジュ,丹内祐次,13,1:09.1,6.1,2-2,1,500,2,牝,4,55.0,35.9,3.0,キャンドルライト賞 ,2021年12月26日,5回中山8日目,3歳以上2勝クラス,芝,1200,右,良,晴,5,中山
デルマカンノン,ルメール,8,1:09.2,3.4,12-12,2,442,-10,牝,3,54.0,35.1,1.0,キャンドルライト賞 ,2021年12月26日,5回中山8日目,3歳以上2勝クラス,芝,1200,右,良,晴,5,中山
オシリスブレイン,横山和生,9,1:09.2,6.1,14-14,3,502,14,牡,4,57.0,34.9,4.0,キャンドルライト賞 ,2021年12月26日,5回中山8日目,3歳以上2勝クラス,芝,1200,右,良,晴,5,中山
バスクベレー,津村明秀,3,1:09.2,117.7,11-8,4,478,8,セ,5,57.0,35.2,14.0,キャンドルライト賞 ,2021年12月26日,5回中山8日目,3歳以上2勝クラス,芝,1200,右,良,晴,5,中山
グリンデルヴァルト,松山弘平,5,1:09.2,10.7,9-8,5,466,2,牝,4,55.0,35.4,5.0,キャンドルライト賞 ,2021年12月26日,5回中山8日目,3歳以上2勝クラス,芝,1200,右,良,晴,5,中山
ラヴケリー,池添謙一,1,1:09.2,4.0,16-16,6,446,2,牝,3,54.0,34.6,2.0,キャンドルライト賞 ,2021年12月26日,5回中山8日目,3歳以上2勝クラス,芝,1200,右,良,晴,5,中山
ゲンパチアイアン,秋山稔樹,2,1:09.3,40.5,3-3,7,484,-2,牡,4,57.0,35.9,10.0,キャンドルライト賞 ,2021年12月26日,5回中山8日目,3歳以上2勝クラス,芝,1200,右,良,晴,5,中山
クムシラコ,黛弘人,10,1:09.3,17.5,6-6,8,472,4,牡,3,56.0,35.8,7.0,キャンドルライト賞 ,2021年12月26日,5回中山8日目,3歳以上2勝クラス,芝,1200,右,良,晴,5,中山
ラストリージョ,柴田大知,15,1:09.5,57.8,3-3,9,452,-6,牝,3,54.0,36.2,12.0,キャンドルライト賞 ,2021年12月26日,5回中山8日目,3歳以上2勝クラス,芝,1200,右,良,晴,5,中山
